Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,band_gap
2.5,89.5,4.25763,26.27,4.5,1.25,,2.41,1.25,0.75,0.0,0.0,2.0,0.75,0.75,0.0,0.0,1.5,8.653437499999999,7.499,0.0,194.0,4.3412
10.0,82.375,20.36934825,158.39375,15.0,2.375,84.5,2.72125,2.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,3.0,17.6943080357,4.6325,0.0,122.0,3.56
6.0,61.75,12.240275,160.70999999999998,11.5,2.0,85.25,2.5250000000000004,1.75,2.25,0.0,0.0,4.0,0.25,2.25,0.0,0.0,2.5,15.224895833325,4.82775,0.0,202.75,3.6643
9.333333333333334,60.66666666666666,18.70188,135.11333333333332,6.0,2.333333333333333,100.0,2.1533333333333333,1.3333333333333333,1.3333333333333333,0.0,,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,29.6088888889,2.6176666666666666,0.0,145.0,3.6839
10.0,84.0,20.326620666666667,145.05,15.333333333333334,2.333333333333333,81.33333333333333,2.89,2.0,3.333333333333333,0.0,0.0,5.333333333333333,0.0,2.6666666666666665,0.0,0.0,2.6666666666666665,15.481329365066664,2.6873333333333336,0.0,69.33333333333333,5.1829
23.6,90.6,56.63872256,162.922,16.4,2.8,74.8,3.65,2.0,4.4,2.0,2.8,11.2,0.0,1.6,0.0,0.0,1.6,13.388,1.576,0.0,57.0,2.0001
27.6,78.7,66.05647884800001,227.562,14.2,3.2,94.0,2.983,1.9,3.3,3.0,2.8,11.0,0.1,2.1,0.0,0.0,2.2,16.556833333329998,1.182,0.0,84.6,4.455900000000001
12.0,71.6,24.43210064,177.598,13.2,2.6,99.4,2.852,1.8,3.4,0.0,0.0,5.2,0.2,1.4,0.0,0.0,1.6,25.36220833334,,0.0,67.6,3.9978
20.0,81.0,46.0819838875,190.79625,14.75,2.875,90.625,3.34,1.875,4.125,1.25,0.0,7.25,0.125,1.125,0.0,0.0,1.25,25.69625,1.4775,0.0,60.625,5.0381
33.57142857142857,54.285714285714285,80.97264340000001,248.4828571428571,9.857142857142858,3.857142857142857,134.57142857142858,2.3857142857142857,1.7142857142857142,2.2857142857142856,0.1428571428571428,0.5714285714285714,4.714285714285714,,1.1428571428571428,1.2857142857142858,1.4285714285714286,4.142857142857143,40.91482142857143,0.0,0.0,81.14285714285714,0.3679000000000001
39.333333333333336,32.333333333333336,93.93676793333331,219.32666666666665,6.0,,184.66666666666663,1.6733333333333331,1.3333333333333333,1.3333333333333333,0.0,0.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,80.21166666666666,0.0,0.0,156.66666666666666,0.6218999999999999
13.5,45.0,27.54885,195.665,8.5,3.0,134.5,2.13,1.5,2.0,0.0,0.0,3.5,0.5,1.0,0.0,0.0,1.5,41.10583333335,0.0,0.0,120.5,2.396
